,Accession,Submitters,Organization,Org_location,Release_Date,Pangolin,PangoVersions,Random_Sampling,Isolate,Species,Length,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date
409093,OP285177.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2022-08-23T00:00:00Z,BA.5.1,4.1.3/1.17/v0.1.10/0.3.17,True,CA-CDC-LC0834422,Severe acute respiratory syndrome-related coronavirus,29720,USA: California,USA,CA,Homo sapiens,oronasopharynx,2022-08-10
410062,OP286146.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2022-08-23T00:00:00Z,BA.5.5,4.1.3/1.17/v0.1.10/0.3.17,True,FL-CDC-LC0831413,Severe acute respiratory syndrome-related coronavirus,29720,USA: Florida,USA,FL,Homo sapiens,oronasopharynx,2022-08-12
427162,OP274624.1,"Bankers,L., Bogale,H.N., Hetherington-Rauth,M.C., Ir,D., Matzinger,S.R., Rossheim,A., Smith,A.","CDPHE SARS-CoV-2 submissions, Department of Microbiology",USA,2022-08-22T00:00:00Z,BA.5.2,4.1.3/1.17/v0.1.10/0.3.17,True,CO-CDPHE-2103421251,Severe acute respiratory syndrome-related coronavirus,29744,USA,USA,,Homo sapiens,,2022-06-25
427582,OP275044.1,"Bankers,L., Bogale,H.N., Hetherington-Rauth,M.C., Ir,D., Matzinger,S.R., Rossheim,A., Smith,A.","CDPHE SARS-CoV-2 submissions, Department of Microbiology",USA,2022-08-22T00:00:00Z,BA.5.2,4.1.3/1.17/v0.1.10/0.3.17,True,CO-CDPHE-2103507979,Severe acute respiratory syndrome-related coronavirus,29718,USA,USA,,Homo sapiens,,2022-07-13
428050,OP275512.1,"Bankers,L., Bogale,H.N., Hetherington-Rauth,M.C., Ir,D., Matzinger,S.R., Rossheim,A., Smith,A.","CDPHE SARS-CoV-2 submissions, Department of Microbiology",USA,2022-08-22T00:00:00Z,BA.5.2.1,4.1.3/1.17/v0.1.10/0.3.17,True,CO-CDPHE-2103515436,Severe acute respiratory syndrome-related coronavirus,29709,USA,USA,,Homo sapiens,,2022-07-13
428326,OP277600.1,"Kandel,S., Bird,J.T., Byrum,S.D., Thurman,T.J., Kennedy,J.L., Ussery,D.W.","University of Arkansas for Medical Sciences, Department of Biomedical Informatics",USA,2022-08-22T00:00:00Z,AY.44,4.1.3/1.17/v0.1.10/0.3.17,,B06970,Severe acute respiratory syndrome-related coronavirus,29689,USA: AR,USA,AR,Homo sapiens,oronasopharynx,2021-08-05
429214,OP268820.1,"Bankers,L., Bogale,H.N., Hetherington-Rauth,M.C., Ir,D., Matzinger,S.R., Rossheim,A., Smith,A.","CDPHE SARS-CoV-2 submissions, Department of Microbiology",USA,2022-08-21T00:00:00Z,BA.2.12.1,4.1.3/1.17/v0.1.10/0.3.17,True,CO-CDPHE-2103461984,Severe acute respiratory syndrome-related coronavirus,29724,USA,USA,,Homo sapiens,,2022-06-28
435480,OP258014.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2022-08-19T00:00:00Z,BA.5.5,4.1.3/1.17/v0.1.10/0.3.17,True,WI-CDC-QDX39613288,Severe acute respiratory syndrome-related coronavirus,29703,USA: Wisconsin,USA,WI,Homo sapiens,oronasopharynx,2022-07-31
435780,OP258314.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2022-08-19T00:00:00Z,BA.5.1.1,4.1.3/1.17/v0.1.10/0.3.17,True,IL-CDC-QDX39613242,Severe acute respiratory syndrome-related coronavirus,29718,USA: Illinois,USA,IL,Homo sapiens,oronasopharynx,2022-07-31
436959,OP259493.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2022-08-19T00:00:00Z,BA.5.2.1,4.1.3/1.17/v0.1.10/0.3.17,True,PA-CDC-QDX39758173,Severe acute respiratory syndrome-related coronavirus,29718,USA: Pennsylvania,USA,PA,Homo sapiens,oronasopharynx,2022-08-03
437596,OP260134.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Ca,H., Morrison,S., Gulvick,C., Sula,E., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2022-08-19T00:00:00Z,BA.5.5,4.1.3/1.17/v0.1.10/0.3.17,True,MI-CDC-STM-78WF92ARF,Severe acute respiratory syndrome-related coronavirus,29842,USA: Michigan,USA,MI,Homo sapiens,oronasopharynx,2022-08-02
439735,OP262282.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2022-08-19T00:00:00Z,BA.5.1,4.1.3/1.17/v0.1.10/0.3.17,True,NY-CDC-QDX39757266,Severe acute respiratory syndrome-related coronavirus,29718,USA: New York,USA,NY,Homo sapiens,oronasopharynx,2022-08-03
439924,OP262471.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2022-08-19T00:00:00Z,BA.5.2,4.1.3/1.17/v0.1.10/0.3.17,True,CA-CDC-QDX39798861,Severe acute respiratory syndrome-related coronavirus,29718,USA: California,USA,CA,Homo sapiens,oronasopharynx,2022-08-04
440202,OP264135.1,"Marques,A.D., Everett,J.K., Rodino,K., Reddy,S., Roche,A.M., Hwang,Y., Sherrill-Mix,S., Whiteside,S.A., Graham-Wooten,J., Khatib,L.A., Fitzgerald,A.S., Ganguly,A., Feldman,M., Kelly,B., Collman,R.G., Anis,E., Erick,G., Ellis,J., Greening,S., Zeliff,H., Bushman,F.D.","University of Pennsylvania, Microbiology",USA,2022-08-19T00:00:00Z,BA.2.12.1,4.1.3/1.17/v0.1.10/0.3.17,,VSP12547,Severe acute respiratory syndrome-related coronavirus,29740,USA: Pennsylvania,USA,PA,Homo sapiens,,2022-03-20
440555,OP264488.1,"Marques,A.D., Everett,J.K., Rodino,K., Reddy,S., Roche,A.M., Hwang,Y., Sherrill-Mix,S., Whiteside,S.A., Graham-Wooten,J., Khatib,L.A., Fitzgerald,A.S., Ganguly,A., Feldman,M., Kelly,B., Collman,R.G., Anis,E., Erick,G., Ellis,J., Greening,S., Zeliff,H., Bushman,F.D.","University of Pennsylvania, Microbiology",USA,2022-08-19T00:00:00Z,BA.2.12.1,4.1.3/1.17/v0.1.10/0.3.17,,VSP14458,Severe acute respiratory syndrome-related coronavirus,29751,USA: Pennsylvania,USA,PA,Homo sapiens,,2022-05-08
442580,OP249088.1,"Sheridan,K., Van Tassel,B., Yaglom,H., Sprenkle,M., Centner,H., Pfeiffer,A., Folkerts,M., French,C., Jasso-Selles,D., Porter,T., Lemmer,D., Driebe,E., Engelthaler,D.","The Translational Genomics Research Institute COVID submission group, Bioinformatics",USA,2022-08-18T00:00:00Z,BA.5.2.1,4.1.3/1.17/v0.1.10/0.3.17,,TG1003250,Severe acute respiratory syndrome-related coronavirus,29761,USA: Arizona,USA,AZ,Homo sapiens,,2022-06-09
446402,OP239658.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2022-08-17T00:00:00Z,BA.5.2.1,4.1.3/1.17/v0.1.10/0.3.17,True,NJ-CDC-LC0823737,Severe acute respiratory syndrome-related coronavirus,29562,USA: New Jersey,USA,NJ,Homo sapiens,oronasopharynx,2022-08-01
446881,OP240137.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2022-08-17T00:00:00Z,BA.5.2,4.1.3/1.17/v0.1.10/0.3.17,True,NC-CDC-LC0818111,Severe acute respiratory syndrome-related coronavirus,29720,USA: North Carolina,USA,NC,Homo sapiens,oronasopharynx,2022-08-02
447721,OP240977.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2022-08-17T00:00:00Z,BE.1.1,4.1.3/1.17/v0.1.10/0.3.17,True,FL-CDC-LC0818603,Severe acute respiratory syndrome-related coronavirus,29399,USA: Florida,USA,FL,Homo sapiens,oronasopharynx,2022-08-03
449097,OP242714.1,"Roychoudhury,P., Greninger,A.L.","University of Washington, Laboratory Medicine and Pathology",USA,2022-08-17T00:00:00Z,BA.5.2,4.1.3/1.17/v0.1.10/0.3.17,,WA-UW-22072533043,Severe acute respiratory syndrome-related coronavirus,29499,USA: Washington,USA,WA,Homo sapiens,,2022-07-25
454649,OP226702.1,"Penn,R., Brown,P., Lara,A., Lai,Y.","Disease Prevention and Control, Houston Health Department",USA,2022-08-16T00:00:00Z,BA.5.6,4.1.3/1.17/v0.1.10/0.3.17,True,TX-HHD-2207197306,Severe acute respiratory syndrome-related coronavirus,29386,USA,USA,,Homo sapiens,,2022-07-11
455071,OP227331.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2022-08-16T00:00:00Z,BA.5.2.1,4.1.3/1.17/v0.1.10/0.3.17,True,IL-CDC-QDX39413944,Severe acute respiratory syndrome-related coronavirus,29718,USA: Illinois,USA,IL,Homo sapiens,oronasopharynx,2022-07-25
457094,OP229354.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2022-08-16T00:00:00Z,BA.5.1,4.1.3/1.17/v0.1.10/0.3.17,True,IL-CDC-QDX39659389,Severe acute respiratory syndrome-related coronavirus,29718,USA: Illinois,USA,IL,Homo sapiens,oronasopharynx,2022-08-01
457390,OP229650.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2022-08-16T00:00:00Z,BA.5.2,4.1.3/1.17/v0.1.10/0.3.17,True,NY-CDC-QDX39657778,Severe acute respiratory syndrome-related coronavirus,29718,USA: New York,USA,NY,Homo sapiens,oronasopharynx,2022-08-01
458083,OP230343.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2022-08-16T00:00:00Z,BA.5.2.1,4.1.3/1.17/v0.1.10/0.3.17,True,CA-CDC-QDX39706804,Severe acute respiratory syndrome-related coronavirus,29718,USA: California,USA,CA,Homo sapiens,oronasopharynx,2022-08-02
458506,OP230766.1,"Uddin,R., Thiriveedhi,V.K., Adams,G., Shaw,B., Park,D., Loreth,C., Branda,J., Turbett,S., Rosenberg,E., Lemieux,J.E.","Massachusetts General Hospital, Department of Infectious Disease",USA,2022-08-16T00:00:00Z,BA.5.2.1,4.1.3/1.17/v0.1.10/0.3.17,True,MA-MGB-07756,Severe acute respiratory syndrome-related coronavirus,29603,USA: Massachusetts,USA,MA,Homo sapiens,,2022-07-18
458983,OP231274.1,"Wolfsohn,E.","Contra Costa Public Health Laboratory submission group, Public Health Laboratory Services, Project COVID-19",USA,2022-08-16T00:00:00Z,BA.4.1,4.1.3/1.17/v0.1.10/0.3.17,True,CA-CCPHL-3052,Severe acute respiratory syndrome-related coronavirus,29636,USA,USA,,Homo sapiens,,2022-07-05
460531,OP233248.1,"Linares-Perdomo,O.J.","Utah Public Health Laboratory Infectious Disease submission group, Utah Public Health Laboratory",USA,2022-08-16T00:00:00Z,BA.2.12.1,4.1.3/1.17/v0.1.10/0.3.17,True,UT-UPHL-220804123582,Severe acute respiratory syndrome-related coronavirus,29648,USA,USA,,Homo sapiens,,2022-07-06
462390,OP235233.1,"Linares-Perdomo,O.J.","Utah Public Health Laboratory Infectious Disease submission group, Utah Public Health Laboratory",USA,2022-08-16T00:00:00Z,BA.5.2.1,4.1.3/1.17/v0.1.10/0.3.17,True,UT-UPHL-220806927311,Severe acute respiratory syndrome-related coronavirus,29725,USA,USA,,Homo sapiens,,2022-07-27
462667,OP235724.1,"Bankers,L., Bogale,H.N., Hetherington-Rauth,M.C., Ir,D., Matzinger,S.R., Rossheim,A., Smith,A.","CDPHE SARS-CoV-2 submissions, Department of Microbiology",USA,2022-08-16T00:00:00Z,BA.5.2.1,4.1.3/1.17/v0.1.10/0.3.17,True,CO-CDPHE-2103455564,Severe acute respiratory syndrome-related coronavirus,29718,USA,USA,,Homo sapiens,,2022-06-25
463104,OP236291.1,"Prokop,J., Chesla,D., Caulfield,A., Olivero,R., Liu,C., Pell,S., Alberta,S.","Michigan State University and Spectrum Health, Grand Rapids Research Center",USA,2022-08-16T00:00:00Z,BA.2.12.1,4.1.3/1.17/v0.1.10/0.3.17,,MI-SH_MSU-G02_I_0105_20,Severe acute respiratory syndrome-related coronavirus,29724,USA: Michigan,USA,MI,Homo sapiens,oronasopharynx,2022-06-13
465054,OP209795.1,"Weil,A., Luiten,K.G., Casto,A.M., Bennett,J.C., O'Hanlon,J., Han,P.D., Gamboa,L., McDermot,E., Truong,M., Gottlieb,G.S., Acker,Z., Wolf,C.R., Magedson,A., Chow,E.J., Lo,N.K., Pothan,L.C., McDonald,D., Wright,T., McCaffrey,K.N., Figgins,M.D., Englund,J.A., Boeckh,M., Lockwood,C.M., Nickerson,D.A., Shendure,J., Bedford,T., Hughes,J.P., Starita,L.M., Chu,H.Y., Frazar,C.D., Lee,J., Ryke,E., Stone,J., Kolar,T., Sibley,T.R., Lutz,B.R., Waghmare,A., Viboud,C.","University of Washington, Department of Medicine, Division of Allergy and Infectious Diseases",USA,2022-08-12T00:00:00Z,BA.1.15,4.1.3/1.17/v0.1.10/0.3.17,,WA-S16667,Severe acute respiratory syndrome-related coronavirus,29460,USA,USA,,Homo sapiens,,2022-01-05
465100,OP210354.1,"Sheth,M., Nobles,S., Madden,J., Padilla,J., Burgin,A., Bentz,M., Burroughs,M., Cook,P., Paden,C.R., Batra,D., Knipe,K., Howard,D., Unoarumhi,Y., Schmerer,M., Rambo-Martin,B.L., Lacek,K., Shepard,S., Wentworth,D., Dugan,V., Lee,J.","Centers for Disease Control and Prevention, Biotechnology Core Facility Branch",USA,2022-08-12T00:00:00Z,BA.5.2.1,4.1.3/1.17/v0.1.10/0.3.17,True,MO-CDC-2-6239863,Severe acute respiratory syndrome-related coronavirus,29630,USA: MO,USA,MO,Homo sapiens,,2022-06-28
465259,OP210513.1,"Sheth,M., Nobles,S., Madden,J., Padilla,J., Burgin,A., Bentz,M., Burroughs,M., Cook,P., Paden,C.R., Batra,D., Knipe,K., Howard,D., Unoarumhi,Y., Schmerer,M., Rambo-Martin,B.L., Lacek,K., Shepard,S., Wentworth,D., Dugan,V., Lee,J.","Centers for Disease Control and Prevention, Biotechnology Core Facility Branch",USA,2022-08-12T00:00:00Z,BA.2.12.1,4.1.3/1.17/v0.1.10/0.3.17,True,KS-CDC-2-6238855,Severe acute respiratory syndrome-related coronavirus,29796,USA: KS,USA,KS,Homo sapiens,oronasopharynx,2022-07-06
465784,OP215013.1,"Bankers,L., Bogale,H.N., Hetherington-Rauth,M.C., Ir,D., Matzinger,S.R., Rossheim,A., Smith,A.","CDPHE SARS-CoV-2 submissions, Department of Microbiology",USA,2022-08-12T00:00:00Z,BA.5.2.1,4.1.3/1.17/v0.1.10/0.3.17,True,CO-CDPHE-2103423046,Severe acute respiratory syndrome-related coronavirus,29664,USA,USA,,Homo sapiens,,2022-06-25
466259,OP216319.1,"Reeb,V., Twait,E., Yakos,A., Knutson,M., Eveland,K., Zanon,K., Benfer,J., Hottel,W., Kampoowale,A., Sompallae,K., El Allam,M.","State Hygienic Laboratory at the University of Iowa, Molecular",USA,2022-08-12T00:00:00Z,AY.25,4.1.3/1.17/v0.1.10/0.3.17,True,1820362,Severe acute respiratory syndrome-related coronavirus,29769,USA: IA,USA,IA,Homo sapiens,,2021-08-27
469791,OP200294.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2022-08-11T00:00:00Z,BA.5.2.1,4.1.3/1.17/v0.1.10/0.3.17,True,NM-CDC-LC0812750,Severe acute respiratory syndrome-related coronavirus,29720,USA: New Mexico,USA,NM,Homo sapiens,oronasopharynx,2022-07-22
470459,OP200962.1,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2022-08-11T00:00:00Z,BF.10,4.1.3/1.17/v0.1.10/0.3.17,True,AZ-CDC-LC0810805,Severe acute respiratory syndrome-related coronavirus,29473,USA: Arizona,USA,AZ,Homo sapiens,oronasopharynx,2022-07-25
